iter	Passed	Remaining
419	2050	2831
420	2055	2826
421	2058	2820
422	2062	2813
423	2066	2807
424	2070	2801
425	2074	2795
426	2078	2788
427	2082	2782
428	2086	2777
429	2090	2770
430	2095	2766
431	2100	2761
432	2104	2755
433	2107	2748
434	2111	2742
435	2116	2738
436	2120	2731
437	2123	2725
438	2127	2719
439	2131	2713
440	2136	2707
441	2139	2701
442	2144	2696
443	2148	2690
444	2152	2684
445	2157	2680
446	2162	2675
447	2166	2669
448	2169	2662
449	2173	2657
450	2177	2651
451	2181	2644
452	2184	2638
453	2188	2631
454	2192	2626
455	2196	2620
456	2199	2613
457	2203	2607
458	2208	2602
459	2211	2596
460	2215	2590
461	2219	2584
462	2224	2579
463	2227	2573
464	2231	2566
465	2235	2562
466	2240	2556
467	2244	2551
468	2248	2545
469	2252	2539
470	2256	2533
471	2259	2527
472	2264	2523
473	2268	2517
474	2272	2511
475	2275	2505
476	2280	2500
477	2284	2495
478	2288	2489
479	2292	2483
480	2297	2479
481	2301	2473
482	2304	2467
483	2308	2461
484	2313	2456
485	2316	2450
486	2320	2444
487	2324	2438
488	2328	2433
489	2332	2427
490	2336	2421
491	2341	2417
492	2345	2412
493	2349	2406
494	2352	2400
495	2390	2429
496	2398	2427
497	2403	2422
498	2408	2418
499	2425	2425
500	2429	2420
501	2438	2419
502	2442	2413
503	2445	2407
504	2450	2402
505	2454	2396
506	2457	2389
507	2461	2384
508	2466	2378
509	2469	2372
510	2473	2366
511	2476	2360
512	2486	2360
513	2490	2354
514	2496	2350
515	2499	2344
516	2503	2338
517	2507	2333
518	2512	2328
519	2515	2322
520	2519	2316
521	2525	2312
522	2529	2307
523	2533	2301
524	2537	2295
525	2541	2290
526	2545	2284
527	2549	2279
528	2553	2273
529	2558	2268
530	2561	2262
531	2565	2256
532	2569	2251
533	2574	2246
534	2578	2241
535	2581	2235
536	2587	2230
537	2590	2224
538	2594	2218
539	2598	2213
540	2602	2208
541	2606	2202
542	2610	2197
543	2614	2191
544	2619	2186
545	2622	2181
546	2626	2175
547	2631	2170
548	2636	2165
549	2639	2159
550	2643	2153
551	2647	2148
552	2651	2143
553	2655	2137
554	2658	2131
555	2663	2126
556	2685	2136
557	2691	2131
558	2697	2128
559	2702	2123
560	2706	2117
561	2710	2112
562	2714	2107
563	2718	2101
564	2721	2095
565	2727	2091
566	2731	2085
567	2735	2080
568	2739	2074
569	2744	2070
570	2747	2064
571	2751	2058
572	2756	2054
573	2760	2048
574	2764	2043
575	2767	2037
576	2772	2032
577	2776	2026
578	2779	2021
579	2783	2015
580	2788	2011
581	2792	2005
582	2795	1999
583	2800	1994
584	2805	1990
585	2809	1984
586	2813	1979
587	2817	1974
588	2821	1968
589	2828	1965
590	2834	1961
591	2837	1955
592	2841	1950
593	2845	1944
594	2849	1939
595	2853	1934
596	2857	1929
597	2861	1923
598	2865	1918
599	2869	1913
600	2873	1907
601	2877	1902
602	2882	1897
603	2886	1892
604	2890	1887
605	2894	1882
606	2899	1877
607	2902	1871
608	2906	1865
609	2910	1860
610	2914	1855
611	2918	1850
612	2921	1844
613	2926	1839
614	2930	1834
615	2933	1828
616	2937	1823
617	2942	1819
618	2947	1813
619	2950	1808
620	2954	1803
621	2959	1798
622	2963	1793
623	2966	1787
624	2970	1782
625	2975	1777
626	2979	1772
627	2983	1767
628	2988	1762
629	2992	1757
630	2996	1752
631	3000	1746
632	3006	1742
633	3009	1737
634	3013	1732
635	3017	1726
636	3021	1721
637	3025	1716
638	3029	1711
639	3035	1707
640	3038	1702
641	3042	1696
642	3046	1691
643	3052	1687
644	3056	1682
645	3059	1676
646	3063	1671
647	3067	1666
648	3071	1661
649	3075	1655
650	3079	1650
651	3083	1645
652	3087	1640
653	3090	1635
654	3095	1630
655	3099	1625
656	3103	1620
657	3106	1614
658	3111	1610
659	3131	1613
660	3142	1611
661	3152	1609
662	3157	1604
663	3162	1600
664	3167	1595
665	3181	1595
666	3186	1590
667	3190	1585
668	3197	1581
669	3201	1576
670	3204	1571
671	3210	1566
672	3213	1561
673	3218	1556
674	3222	1551
675	3226	1546
676	3230	1541
677	3233	1535
678	3237	1530
679	3242	1525
680	3245	1520
681	3249	1515
682	3252	1509
683	3257	1505
684	3261	1499
685	3265	1494
686	3269	1489
687	3273	1484
688	3276	1479
689	3280	1473
690	3284	1468
691	3288	1463
692	3292	1458
693	3296	1453
694	3302	1449
695	3306	1444
696	3309	1438
697	3314	1433
698	3318	1428
699	3321	1423
700	3325	1418
701	3330	1413
702	3334	1408
703	3338	1403
704	3342	1398
705	3347	1394
706	3352	1389
707	3355	1384
708	3359	1378
709	3364	1374
710	3367	1368
711	3371	1363
712	3376	1358
713	3380	1354
714	3384	1348
715	3388	1343
716	3392	1339
717	3396	1334
718	3400	1329
719	3404	1324
720	3409	1319
721	3413	1314
722	3417	1309
723	3422	1304
724	3426	1299
725	3429	1294
726	3433	1289
727	3438	1284
728	3443	1279
729	3447	1274
730	3450	1269
731	3455	1265
732	3459	1260
733	3463	1255
734	3469	1250
735	3474	1246
736	3477	1241
737	3483	1236
738	3487	1231
739	3490	1226
740	3494	1221
741	3500	1217
742	3503	1211
743	3507	1206
744	3511	1201
745	3515	1197
746	3521	1192
747	3525	1187
748	3530	1183
749	3533	1177
750	3537	1172
751	3541	1167
752	3545	1163
753	3549	1158
754	3553	1152
755	3557	1148
756	3561	1143
757	3565	1138
758	3569	1133
759	3573	1128
760	3578	1123
761	3581	1118
762	3585	1113
763	3590	1109
764	3594	1104
765	3598	1099
766	3602	1094
767	3606	1089
768	3610	1084
769	3614	1079
770	3618	1074
771	3622	1069
772	3626	1064
773	3630	1059
774	3633	1055
775	3638	1050
776	3641	1045
777	3645	1040
778	3649	1035
779	3653	1030
780	3657	1025
781	3660	1020
782	3664	1015
783	3669	1010
784	3672	1005
785	3676	1000
786	3681	996
787	3685	991
788	3689	986
789	3692	981
790	3697	977
791	3701	972
792	3705	967
793	3714	963
794	3719	959
795	3726	954
796	3730	950
797	3734	945
798	3738	940
799	3743	935
800	3747	931
801	3751	926
802	3756	921
803	3760	916
804	3764	911
805	3768	906
806	3772	902
807	3776	897
808	3780	892
809	3784	887
810	3789	883
811	3793	878
812	3796	873
813	3800	868
814	3804	863
815	3808	858
816	3811	853
817	3815	849
818	3820	844
819	3823	839
820	3827	834
821	3831	829
822	3835	824
823	3839	820
824	3843	815
825	3847	810
826	3852	805
827	3856	801
828	3859	796
829	3864	791
830	3868	786
831	3871	781
832	3875	776
833	3880	772
834	3884	767
835	3888	762
836	3891	757
837	3896	753
838	3900	748
839	3903	743
840	3909	739
841	3913	734
842	3917	729
843	3921	724
844	3925	720
845	3929	715
846	3932	710
847	3936	705
848	3980	707
849	3984	703
850	3989	698
851	4005	695
852	4008	690
853	4012	685
854	4016	681
855	4020	676
856	4024	671
857	4028	666
858	4033	662
859	4037	657
860	4040	652
861	4045	647
862	4052	643
863	4056	638
864	4061	633
865	4071	630
866	4075	625
867	4081	620
868	4084	615
869	4088	610
870	4093	606
871	4098	601
872	4103	596
873	4107	592
874	4112	587
875	4116	582
876	4120	577
877	4125	573
878	4129	568
879	4133	563
880	4137	558
881	4142	554
882	4146	549
883	4150	544
884	4154	539
885	4159	535
886	4162	530
887	4167	525
888	4171	520
889	4176	516
890	4180	511
891	4184	506
892	4189	502
893	4194	497
894	4197	492
895	4203	487
896	4207	483
897	4211	478
898	4214	473
899	4220	468
900	4224	464
901	4228	459
902	4232	454
903	4236	449
904	4240	445
905	4243	440
906	4248	435
907	4252	430
908	4256	426
909	4259	421
910	4264	416
911	4268	411
912	4271	407
913	4276	402
914	4280	397
915	4284	392
916	4287	388
917	4291	383
918	4302	379
919	4306	374
920	4311	369
921	4315	365
922	4319	360
923	4323	355
924	4328	350
925	4333	346
926	4337	341
927	4343	336
928	4347	332
929	4350	327
930	4354	322
931	4359	318
932	4362	313
933	4366	308
934	4370	303
935	4374	299
936	4378	294
937	4382	289
938	4386	284
939	4390	280
940	4394	275
941	4398	270
942	4402	266
943	4406	261
944	4410	256
945	4414	251
946	4419	247
947	4423	242
948	4427	237
949	4431	233
950	4436	228
951	4440	223
952	4444	219
953	4448	214
954	4452	209
955	4455	205
956	4459	200
957	4463	195
958	4467	191
959	4471	186
960	4475	181
961	4482	177
962	4486	172
963	4490	167
964	4495	163
965	4498	158
966	4502	153
967	4505	148
968	4510	144
969	4514	139
970	4518	134
971	4521	130
972	4527	125
973	4532	120
974	4535	116
975	4539	111
976	4560	107
977	4566	102
978	4571	98
979	4576	93
980	4580	88
981	4583	84
982	4588	79
983	4591	74
984	4595	69
985	4598	65
986	4603	60
987	4607	55
988	4611	51
989	4615	46
990	4620	41
991	4624	37
992	4628	32
993	4634	27
994	4638	23
995	4641	18
996	4645	13
997	4650	9
998	4654	4
999	4657	0
